 3.41666666 -44.0000000 Eri  Hor
 3.41666666 -46.0000000 Eri  Hor
 3.00000000 -46.0000000 Eri  Hor
 3.00000000 -49.0000000 Eri  Hor
 2.66666666 -49.0000000 Eri  Hor
 2.66666666 -51.0000000 Eri  Hor
 2.41666666 -51.0000000 Eri  Hor
 2.41666666 -54.0000000 Eri  Hor
 2.16666666 -54.0000000 Eri  Hor
 2.16666666 -58.5000000 Eri  Hor
 1.33333333 -58.5000000 Eri  Hyi
 1.33333333 -53.5000000 Eri  PHE
 1.58333333 -53.5000000 Eri  PHE
 1.58333333 -51.5000000 Eri  PHE
 1.83333333 -51.5000000 Eri  PHE
 1.83333333 -48.1666666 Eri  PHE
 2.33333333 -48.1666666 Eri  PHE
 2.33333333 -40.0000000 Eri  PHE
 3.00000000 -40.0000000 Eri  For
 3.00000000 -39.5833333 Eri  For
 3.50000000 -39.5833333 Eri  For
 3.50000000 -36.0000000 Eri  For
 3.75000000 -36.0000000 Eri  For
 3.75000000 -24.3833333 Eri  For
 2.65000000 -24.3833333 Eri  For
 2.65000000 -01.7500000 Eri  Cet
 3.28333333 -01.7500000 Eri  Cet
 3.58333333 -01.7500000 Eri  Tau
 3.58333333 -00.0000000 Eri  Tau
 1.66666666 -24.3833333 For
 2.65000000 -24.3833333 For  Cet
 3.75000000 -24.3833333 For  Eri
 3.75000000 -36.0000000 For  Eri
 3.50000000 -36.0000000 For  Eri
 3.50000000 -39.5833333 For  Eri
 3.00000000 -39.5833333 For  Eri
 3.00000000 -40.0000000 For  Eri
 2.33333333 -40.0000000 For  Eri
 1.66666666 -40.0000000 For  Phe
 1.66666666 -25.5000000 For  Scl
 1.66666666 -24.3833333 For  Cet
 6.30833333 +12.0000000 Gem
 6.30833333 +17.5000000 Gem  Ori
 6.21666666 +17.5000000 Gem  Ori
 6.21666666 +21.5000000 Gem  Ori
 5.88333333 +21.5000000 Gem  Ori
 5.88333333 +22.8333333 Gem  Ori
 5.88333333 +28.0000000 Gem  Tau
 6.53333333 +28.0000000 Gem  Aur
 6.53333333 +35.5000000 Gem  Aur
 7.36666666 +35.5000000 Gem  Aur
 7.75000000 +35.5000000 Gem  Lyn
 7.75000000 +33.5000000 Gem  Lyn
 8.00000000 +33.5000000 Gem  Lyn
 8.00000000 +28.0000000 Gem  Cnc
 7.88333333 +28.0000000 Gem  Cnc
 7.88333333 +20.0000000 Gem  Cnc
 7.80833333 +20.0000000 Gem  Cnc
 7.80833333 +13.5000000 Gem  Cnc
 7.50000000 +13.5000000 Gem  CMi
 7.50000000 +12.5000000 Gem  CMi
 7.00000000 +12.5000000 Gem  CMi
 7.00000000 +10.0000000 Gem  CMi
 6.93333333 +10.0000000 Gem  Mon
 6.93333333 +12.0000000 Gem  Mon
 6.30833333 +12.0000000 Gem  Mon
21.33333333 -37.0000000 Gru
23.00000000 -37.0000000 Gru  PsA
23.33333333 -37.0000000 Gru  Scl
23.33333333 -40.0000000 Gru  Scl
23.33333333 -57.0000000 Gru  Phe
22.00000000 -57.0000000 Gru  Tuc
22.00000000 -50.0000000 Gru  Ind
21.33333333 -50.0000000 Gru  Ind
21.33333333 -45.5000000 Gru  Ind
21.33333333 -37.0000000 Gru  Mic
16.26666666 +04.0000000 Her
16.08333333 +04.0000000 Her  Ser1
16.08333333 +16.0000000 Her  Ser1
15.91666666 +16.0000000 Her  Ser1
15.91666666 +22.0000000 Her  Ser1
16.03333333 +22.0000000 Her  Ser1
16.03333333 +26.0000000 Her  Ser1
16.16666666 +26.0000000 Her  CrB
16.16666666 +27.0000000 Her  CrB
16.33333333 +27.0000000 Her  CrB
16.33333333 +40.0000000 Her  CrB
15.75000000 +40.0000000 Her  CrB
15.75000000 +51.5000000 Her  Boo
17.00000000 +51.5000000 Her  Dra
17.00000000 +50.5000000 Her  Dra
18.23333333 +50.5000000 Her  Dra
18.23333333 +47.5000000 Her  Dra
18.17500000 +47.5000000 Her  Lyr
18.17500000 +30.0000000 Her  Lyr
18.36666666 +30.0000000 Her  Lyr
18.36666666 +26.0000000 Her  Lyr
18.86666666 +26.0000000 Her  Lyr
18.86666666 +25.5000000 Her  Lyr
18.86666666 +21.0833333 Her  Vul
18.86666666 +18.5000000 Her  Sge
18.86666666 +12.0000000 Her  Aql
18.66222222 +12.0000000 Her  Aql
18.25000000 +12.0000000 Her  Oph
18.25000000 +14.3333333 Her  Oph
17.25000000 +14.3333333 Her  Oph
17.25000000 +12.8333333 Her  Oph
16.75000000 +12.8333333 Her  Oph
16.75000000 +04.0000000 Her  Oph
16.26666666 +04.0000000 Her  Oph
 4.26666666 -40.0000000 Hor
 4.26666666 -49.0000000 Hor  Cae
 4.08333333 -49.0000000 Hor  Dor
 4.08333333 -51.0000000 Hor  Dor
 3.83333333 -51.0000000 Hor  Dor
 3.83333333 -53.1666666 Hor  Dor
 3.50000000 -53.1666666 Hor  Ret
 3.50000000 -57.5000000 Hor  Ret
 3.20000000 -57.5000000 Hor  Ret
 3.20000000 -67.5000000 Hor  Ret
 2.16666666 -67.5000000 Hor  Hyi
 2.16666666 -58.5000000 Hor  Hyi
 2.16666666 -54.0000000 Hor  Eri
 2.41666666 -54.0000000 Hor  Eri
 2.41666666 -51.0000000 Hor  Eri
 2.66666666 -51.0000000 Hor  Eri
 2.66666666 -49.0000000 Hor  Eri
 3.00000000 -49.0000000 Hor  Eri
 3.00000000 -46.0000000 Hor  Eri
 3.41666666 -46.0000000 Hor  Eri
 3.41666666 -44.0000000 Hor  Eri
 3.86666666 -44.0000000 Hor  Eri
 3.86666666 -40.0000000 Hor  Eri
 4.26666666 -40.0000000 Hor  Eri
 8.08333333 -00.0000000 Hya
 8.08333333 +07.0000000 Hya  CMi
 9.25000000 +07.0000000 Hya  Cnc
 9.58333333 +07.0000000 Hya  Leo
 9.58333333 -00.0000000 Hya  Sex
 9.58333333 -11.0000000 Hya  Sex
10.75000000 -11.0000000 Hya  Sex
10.75000000 -19.0000000 Hya  Crt
10.83333333 -19.0000000 Hya  Crt
10.83333333 -24.5000000 Hya  Crt
11.83333333 -24.5000000 Hya  Crt
12.58333333 -24.5000000 Hya  Crv
12.58333333 -22.0000000 Hya  Crv
12.83333333 -22.0000000 Hya  Crv
14.25000000 -22.0000000 Hya  Vir
14.25000000 -24.5000000 Hya  Lib
14.91666666 -24.5000000 Hya  Lib
14.91666666 -29.5000000 Hya  Lib
12.58333333 -29.5000000 Hya  Cen
12.58333333 -33.0000000 Hya  Cen
12.25000000 -33.0000000 Hya  Cen
12.25000000 -35.0000000 Hya  Cen
11.00000000 -35.0000000 Hya  Cen
10.83333333 -35.0000000 Hya  Ant
10.83333333 -31.1666666 Hya  Ant
10.58333333 -31.1666666 Hya  Ant
10.58333333 -29.1666666 Hya  Ant
10.25000000 -29.1666666 Hya  Ant
10.25000000 -26.5000000 Hya  Ant
 9.75000000 -26.5000000 Hya  Ant
 9.75000000 -24.0000000 Hya  Ant
 9.36666666 -24.0000000 Hya  Ant
 9.08333333 -24.0000000 Hya  Pyx
 9.08333333 -19.0000000 Hya  Pyx
 8.58333333 -19.0000000 Hya  Pyx
 8.58333333 -17.0000000 Hya  Pyx
 8.36666666 -17.0000000 Hya  Pyx
 8.36666666 -11.0000000 Hya  Pup
 8.08333333 -11.0000000 Hya  Pup
 8.08333333 -00.0000000 Hya  Mon
 4.58333333 -67.5000000 Hyi
 4.58333333 -70.0000000 Hyi  Dor
 4.58333333 -75.0000000 Hyi  Men
 3.50000000 -75.0000000 Hyi  Men
 3.50000000 -82.5000000 Hyi  Men
 0.00000000 -82.5000000 Hyi  Oct
 0.00000000 -75.0000000 Hyi  Oct
 0.75000000 -75.0000000 Hyi  Tuc
 0.75000000 -76.0000000 Hyi  Tuc
 1.33333333 -76.0000000 Hyi  Tuc
 1.33333333 -58.5000000 Hyi  Tuc
 2.16666666 -58.5000000 Hyi  Eri
 2.16666666 -67.5000000 Hyi  Hor
 3.20000000 -67.5000000 Hyi  Hor
 4.58333333 -67.5000000 Hyi  Ret
21.33333333 -75.0000000 Ind
21.33333333 -60.0000000 Ind  Pav
20.33333333 -60.0000000 Ind  Pav
20.33333333 -57.0000000 Ind  Pav
20.33333333 -45.5000000 Ind  Tel
21.33333333 -45.5000000 Ind  Mic
21.33333333 -50.0000000 Ind  Gru
22.00000000 -50.0000000 Ind  Gru
22.00000000 -57.0000000 Ind  Gru
22.00000000 -67.5000000 Ind  Tuc
23.33333333 -67.5000000 Ind  Tuc
23.33333333 -75.0000000 Ind  Tuc
21.33333333 -75.0000000 Ind  Oct
21.87500000 +36.0000000 Lac
21.87500000 +43.7500000 Lac  Cyg
21.90833333 +43.7500000 Lac  Cyg
21.90833333 +44.0000000 Lac  Cyg
21.96666666 +44.0000000 Lac  Cyg
21.96666666 +52.7500000 Lac  Cyg
22.13333333 +52.7500000 Lac  Cep
22.13333333 +55.0000000 Lac  Cep
22.31666666 +55.0000000 Lac  Cep
22.31666666 +56.2500000 Lac  Cep
22.86666666 +56.2500000 Lac  Cep
22.86666666 +52.5000000 Lac  Cas
22.86666666 +34.5000000 Lac  And
22.81666666 +34.5000000 Lac  Peg
22.81666666 +35.0000000 Lac  Peg
22.00000000 +35.0000000 Lac  Peg
22.00000000 +36.0000000 Lac  Peg
21.87500000 +36.0000000 Lac  Peg
10.75000000 -00.0000000 Leo
10.75000000 +07.0000000 Leo  Sex
 9.58333333 +07.0000000 Leo  Sex
 9.25000000 +07.0000000 Leo  Hya
 9.25000000 +33.5000000 Leo  Cnc
 9.88333333 +33.5000000 Leo  LMi
 9.88333333 +28.5000000 Leo  LMi
10.50000000 +28.5000000 Leo  LMi
10.50000000 +23.5000000 Leo  LMi
10.75000000 +23.5000000 Leo  LMi
10.75000000 +25.5000000 Leo  LMi
11.00000000 +25.5000000 Leo  LMi
11.00000000 +29.0000000 Leo  LMi
11.86666666 +29.0000000 Leo  UMa
11.86666666 +14.0000000 Leo  Com
11.86666666 +11.0000000 Leo  Vir
11.51666666 +11.0000000 Leo  Vir
11.51666666 -00.0000000 Leo  Vir
11.51666666 -06.0000000 Leo  Vir
10.75000000 -06.0000000 Leo  Crt
10.75000000 -00.0000000 Leo  Sex
 9.25000000 +33.5000000 LMi
 9.25000000 +39.7500000 LMi  Lyn
 9.58333333 +39.7500000 LMi  Lyn
 9.58333333 +42.0000000 LMi  Lyn
10.16666666 +42.0000000 LMi  UMa
10.16666666 +40.0000000 LMi  UMa
10.78333333 +40.0000000 LMi  UMa
10.78333333 +34.0000000 LMi  UMa
11.00000000 +34.0000000 LMi  UMa
11.00000000 +29.0000000 LMi  UMa
11.00000000 +25.5000000 LMi  Leo
10.75000000 +25.5000000 LMi  Leo
10.75000000 +23.5000000 LMi  Leo
10.50000000 +23.5000000 LMi  Leo
10.50000000 +28.5000000 LMi  Leo
 9.88333333 +28.5000000 LMi  Leo
 9.88333333 +33.5000000 LMi  Leo
 9.25000000 +33.5000000 LMi  Leo
 4.83333333 -27.2500000 Lep
 4.83333333 -14.5000000 Lep  Eri
 4.91666666 -14.5000000 Lep  Eri
 4.91666666 -11.0000000 Lep  Eri
 5.08333333 -11.0000000 Lep  Eri
 5.83333333 -11.0000000 Lep  Ori
 6.11666666 -11.0000000 Lep  Mon
 6.11666666 -27.2500000 Lep  CMa
 5.00000000 -27.2500000 Lep  Col
 4.83333333 -27.2500000 Lep  Cae
15.08333333 -00.0000000 Lib
15.08333333 -03.2500000 Lib  Ser1
15.91666666 -03.2500000 Lib  Ser1
15.91666666 -08.0000000 Lib  Oph
15.91666666 -20.0000000 Lib  Sco
15.66666666 -20.0000000 Lib  Sco
15.66666666 -29.5000000 Lib  Sco
14.91666666 -29.5000000 Lib  Lup
14.91666666 -24.5000000 Lib  Hya
14.25000000 -24.5000000 Lib  Hya
14.25000000 -22.0000000 Lib  Hya
14.25000000 -08.0000000 Lib  Vir
14.66666666 -08.0000000 Lib  Vir
14.66666666 -00.0000000 Lib  Vir
15.08333333 -00.0000000 Lib  Vir
14.16666666 -55.0000000 Lup
14.16666666 -42.0000000 Lup  Cen
14.91666666 -42.0000000 Lup  Cen
14.91666666 -29.5000000 Lup  Cen
15.66666666 -29.5000000 Lup  Lib
16.00000000 -29.5000000 Lup  Sco
16.00000000 -42.0000000 Lup  Sco
15.66666666 -42.0000000 Lup  Nor
15.66666666 -48.0000000 Lup  Nor
15.33333333 -48.0000000 Lup  Nor
15.33333333 -54.0000000 Lup  Nor
15.05000000 -54.0000000 Lup  Nor
15.05000000 -55.0000000 Lup  Nor
14.53333333 -55.0000000 Lup  Cir
14.16666666 -55.0000000 Lup  Cen
 7.36666666 +35.5000000 Lyn
 7.36666666 +44.5000000 Lyn  Aur
 6.80000000 +44.5000000 Lyn  Aur
 6.80000000 +50.0000000 Lyn  Aur
 6.50000000 +50.0000000 Lyn  Aur
 6.50000000 +54.0000000 Lyn  Aur
 6.10000000 +54.0000000 Lyn  Aur
 6.10000000 +56.0000000 Lyn  Aur
 6.10000000 +62.0000000 Lyn  Cam
 7.00000000 +62.0000000 Lyn  Cam
 7.00000000 +60.0000000 Lyn  Cam
 7.96666666 +60.0000000 Lyn  Cam
 8.41666666 +60.0000000 Lyn  UMa
 8.41666666 +47.0000000 Lyn  UMa
 9.16666666 +47.0000000 Lyn  UMa
 9.16666666 +42.0000000 Lyn  UMa
 9.58333333 +42.0000000 Lyn  UMa
 9.58333333 +39.7500000 Lyn  LMi
 9.25000000 +39.7500000 Lyn  LMi
 9.25000000 +33.5000000 Lyn  LMi
 8.00000000 +33.5000000 Lyn  Cnc
 7.75000000 +33.5000000 Lyn  Gem
 7.75000000 +35.5000000 Lyn  Gem
 7.36666666 +35.5000000 Lyn  Gem
18.86666666 +25.5000000 Lyr
18.86666666 +26.0000000 Lyr  Her
18.36666666 +26.0000000 Lyr  Her
18.36666666 +30.0000000 Lyr  Her
18.17500000 +30.0000000 Lyr  Her
18.17500000 +47.5000000 Lyr  Her
18.23333333 +47.5000000 Lyr  Her
19.08333333 +47.5000000 Lyr  Dra
19.16666666 +47.5000000 Lyr  Cyg
19.16666666 +43.5000000 Lyr  Cyg
19.40000000 +43.5000000 Lyr  Cyg
19.40000000 +36.5000000 Lyr  Cyg
19.35833333 +36.5000000 Lyr  Cyg
19.35833333 +30.0000000 Lyr  Cyg
19.25833333 +30.0000000 Lyr  Cyg
19.25833333 +27.5000000 Lyr  Cyg
19.25833333 +25.5000000 Lyr  Vul
18.86666666 +25.5000000 Lyr  Vul
 7.66666666 -85.0000000 Men
 3.50000000 -85.0000000 Men  Oct
 3.50000000 -82.5000000 Men  Oct
 3.50000000 -75.0000000 Men  Hyi
 4.58333333 -75.0000000 Men  Hyi
 4.58333333 -70.0000000 Men  Hyi
 6.58333333 -70.0000000 Men  Dor
 6.58333333 -75.0000000 Men  Vol
 7.66666666 -75.0000000 Men  Vol
 7.66666666 -82.5000000 Men  Cha
 7.66666666 -85.0000000 Men  Oct
20.33333333 -28.0000000 Mic
21.33333333 -28.0000000 Mic  Cap
21.33333333 -37.0000000 Mic  PsA
21.33333333 -45.5000000 Mic  Gru
20.33333333 -45.5000000 Mic  Ind
20.33333333 -28.0000000 Mic  Sgr
 6.24166666 -00.0000000 Mon
 6.24166666 +10.0000000 Mon  Ori
 6.30833333 +10.0000000 Mon  Ori
 6.30833333 +12.0000000 Mon  Ori
 6.93333333 +12.0000000 Mon  Gem
 6.93333333 +10.0000000 Mon  Gem
 7.00000000 +10.0000000 Mon  Gem
 7.00000000 +05.5000000 Mon  CMi
 7.01666666 +05.5000000 Mon  CMi
 7.01666666 +01.5000000 Mon  CMi
 7.20000000 +01.5000000 Mon  CMi
 7.20000000 -00.0000000 Mon  CMi
 8.08333333 -00.0000000 Mon  CMi
 8.08333333 -11.0000000 Mon  Hya
 7.36666666 -11.0000000 Mon  Pup
 6.11666666 -11.0000000 Mon  CMa
 5.83333333 -11.0000000 Mon  Lep
 5.83333333 -04.0000000 Mon  Ori
 6.24166666 -04.0000000 Mon  Ori
 6.24166666 -00.0000000 Mon  Ori
11.25000000 -64.0000000 Mus
11.83333333 -64.0000000 Mus  Cen
12.83333333 -64.0000000 Mus  Cru
13.50000000 -64.0000000 Mus  Cen
13.50000000 -65.0000000 Mus  Cir
13.66666666 -65.0000000 Mus  Cir
13.66666666 -70.0000000 Mus  Cir
13.66666666 -75.0000000 Mus  Aps
11.25000000 -75.0000000 Mus  Cha
11.25000000 -64.0000000 Mus  Car
15.33333333 -60.0000000 Nor
15.33333333 -55.0000000 Nor  Cir
15.05000000 -55.0000000 Nor  Cir
15.05000000 -54.0000000 Nor  Lup
15.33333333 -54.0000000 Nor  Lup
15.33333333 -48.0000000 Nor  Lup
15.66666666 -48.0000000 Nor  Lup
15.66666666 -42.0000000 Nor  Lup
16.00000000 -42.0000000 Nor  Lup
16.42083333 -42.0000000 Nor  Sco
16.42083333 -45.5000000 Nor  Sco
16.42083333 -60.0000000 Nor  Ara
15.33333333 -60.0000000 Nor  TrA
 0.00000000 -82.5000000 Oct
 3.50000000 -82.5000000 Oct  Hyi
 3.50000000 -85.0000000 Oct  Men
 7.66666666 -85.0000000 Oct  Men
 7.66666666 -82.5000000 Oct  Men
13.66666666 -82.5000000 Oct  Cha
18.00000000 -82.5000000 Oct  Aps
18.00000000 -75.0000000 Oct  Aps
21.33333333 -75.0000000 Oct  Pav
23.33333333 -75.0000000 Oct  Ind
 0.00000000 -75.0000000 Oct  Tuc
 0.00000000 -82.5000000 Oct  Hyi
16.26666666 -00.0000000 Oph
16.26666666 +04.0000000 Oph  Ser1
16.75000000 +04.0000000 Oph  Her
16.75000000 +12.8333333 Oph  Her
17.25000000 +12.8333333 Oph  Her
17.25000000 +14.3333333 Oph  Her
18.25000000 +14.3333333 Oph  Her
18.25000000 +12.0000000 Oph  Her
18.66222222 +12.0000000 Oph  Her
18.66222222 +06.2500000 Oph  Aql
18.25000000 +06.2500000 Oph  Ser2
18.25000000 +04.5000000 Oph  Ser2
18.42500000 +04.5000000 Oph  Ser2
18.42500000 +03.0000000 Oph  Ser2
18.25000000 +03.0000000 Oph  Ser2
18.25000000 -00.0000000 Oph  Ser2
17.83333333 -00.0000000 Oph  Ser2
17.83333333 -04.0000000 Oph  Ser2
17.96666666 -04.0000000 Oph  Ser2
17.96666666 -10.0000000 Oph  Ser2
17.66666666 -10.0000000 Oph  Ser2
17.66666666 -11.6666666 Oph  Ser2
17.58333333 -11.6666666 Oph  Ser2
17.58333333 -10.0000000 Oph  Ser2
17.16666666 -10.0000000 Oph  Ser2
17.16666666 -16.0000000 Oph  Ser2
17.60000000 -16.0000000 Oph  Ser2
17.60000000 -30.0000000 Oph  Sgr
16.75000000 -30.0000000 Oph  Sco
16.75000000 -24.5833333 Oph  Sco
16.26666666 -24.5833333 Oph  Sco
16.26666666 -19.2500000 Oph  Sco
16.37500000 -19.2500000 Oph  Sco
16.37500000 -18.2500000 Oph  Sco
16.26666666 -18.2500000 Oph  Sco
16.26666666 -08.0000000 Oph  Sco
15.91666666 -08.0000000 Oph  Sco
15.91666666 -03.2500000 Oph  Lib
16.26666666 -03.2500000 Oph  Ser1
16.26666666 -00.0000000 Oph  Ser1
 4.61666666 -00.0000000 Ori
 4.61666666 +15.5000000 Ori  Tau
 4.96666666 +15.5000000 Ori  Tau
 4.96666666 +16.0000000 Ori  Tau
 5.33333333 +16.0000000 Ori  Tau
 5.33333333 +15.5000000 Ori  Tau
 5.60000000 +15.5000000 Ori  Tau
 5.60000000 +12.5000000 Ori  Tau
 5.76666666 +12.5000000 Ori  Tau
 5.76666666 +18.0000000 Ori  Tau
 5.70000000 +18.0000000 Ori  Tau
 5.70000000 +22.8333333 Ori  Tau
 5.88333333 +22.8333333 Ori  Tau
 5.88333333 +21.5000000 Ori  Gem
 6.21666666 +21.5000000 Ori  Gem
 6.21666666 +17.5000000 Ori  Gem
 6.30833333 +17.5000000 Ori  Gem
 6.30833333 +12.0000000 Ori  Gem
 6.30833333 +10.0000000 Ori  Mon
 6.24166666 +10.0000000 Ori  Mon
 6.24166666 -00.0000000 Ori  Mon
 6.24166666 -04.0000000 Ori  Mon
 5.83333333 -04.0000000 Ori  Mon
 5.83333333 -11.0000000 Ori  Mon
 5.08333333 -11.0000000 Ori  Lep
 5.08333333 -04.0000000 Ori  Eri
 4.66666666 -04.0000000 Ori  Eri
 4.66666666 -00.0000000 Ori  Eri
 4.61666666 -00.0000000 Ori  Eri
18.00000000 -75.0000000 Pav
18.00000000 -67.5000000 Pav  Aps
17.50000000 -67.5000000 Pav  Aps
17.50000000 -57.0000000 Pav  Ara
18.00000000 -57.0000000 Pav  Ara
20.33333333 -57.0000000 Pav  Tel
20.33333333 -60.0000000 Pav  Ind
21.33333333 -60.0000000 Pav  Ind
21.33333333 -75.0000000 Pav  Ind
18.00000000 -75.0000000 Pav  Oct
21.33333333 +02.0000000 Peg
21.33333333 +12.5000000 Peg  Equ
21.11666666 +12.5000000 Peg  Equ
21.11666666 +11.8333333 Peg  Equ
21.05000000 +11.8333333 Peg  Equ
21.05000000 +19.5000000 Peg  Del
21.25000000 +19.5000000 Peg  Vul
21.25000000 +23.5000000 Peg  Vul
21.41666666 +23.5000000 Peg  Vul
21.41666666 +28.0000000 Peg  Vul
21.73333333 +28.0000000 Peg  Cyg
21.73333333 +36.0000000 Peg  Cyg
21.87500000 +36.0000000 Peg  Cyg
22.00000000 +36.0000000 Peg  Lac
22.00000000 +35.0000000 Peg  Lac
22.81666666 +35.0000000 Peg  Lac
22.81666666 +34.5000000 Peg  Lac
22.86666666 +34.5000000 Peg  Lac
23.50000000 +34.5000000 Peg  And
23.50000000 +32.0833333 Peg  And
23.75000000 +32.0833333 Peg  And
23.75000000 +31.3333333 Peg  And
 0.00000000 +31.3333333 Peg  And
 0.00000000 +28.0000000 Peg  And
 0.06666666 +28.0000000 Peg  And
 0.06666666 +22.0000000 Peg  And
 0.14166666 +22.0000000 Peg  And
 0.14166666 +21.0000000 Peg  And
 0.14166666 +12.5000000 Peg  Psc
 0.00000000 +12.5000000 Peg  Psc
 0.00000000 +10.0000000 Peg  Psc
23.83333333 +10.0000000 Peg  Psc
23.83333333 +07.5000000 Peg  Psc
22.75000000 +07.5000000 Peg  Psc
22.75000000 +02.0000000 Peg  Psc
22.00000000 +02.0000000 Peg  Aqr
22.00000000 +01.7500000 Peg  Aqr
21.66666666 +01.7500000 Peg  Aqr
21.66666666 +02.7500000 Peg  Aqr
21.46666666 +02.7500000 Peg  Aqr
21.46666666 +02.0000000 Peg  Aqr
21.33333333 +02.0000000 Peg  Aqr
 2.71666666 +30.6666666 Per
 2.71666666 +34.0000000 Per  Tri
 2.56666666 +34.0000000 Per  Tri
 2.56666666 +36.7500000 Per  Tri
 2.51666666 +36.7500000 Per  Tri
 2.51666666 +50.5000000 Per  And
 2.04166666 +50.5000000 Per  And
 2.04166666 +47.0000000 Per  And
 1.66666666 +47.0000000 Per  And
 1.66666666 +50.0000000 Per  And
 1.36666666 +50.0000000 Per  And
 1.36666666 +54.0000000 Per  Cas
 1.70000000 +54.0000000 Per  Cas
 1.70000000 +57.5000000 Per  Cas
 1.90833333 +57.5000000 Per  Cas
 1.90833333 +58.5000000 Per  Cas
 2.43333333 +58.5000000 Per  Cas
 2.43333333 +57.0000000 Per  Cas
 3.10000000 +57.0000000 Per  Cas
 3.16666666 +57.0000000 Per  Cam
 3.16666666 +55.0000000 Per  Cam
 3.33333333 +55.0000000 Per  Cam
 3.33333333 +52.5000000 Per  Cam
 4.69166666 +52.5000000 Per  Cam
 4.69166666 +36.0000000 Per  Aur
 4.50000000 +36.0000000 Per  Aur
 4.50000000 +30.6666666 Per  Aur
 3.36666666 +30.6666666 Per  Tau
 2.71666666 +30.6666666 Per  Ari
23.33333333 -40.0000000 Phe
 1.66666666 -40.0000000 Phe  Scl
 2.33333333 -40.0000000 Phe  For
 2.33333333 -48.1666666 Phe  Eri
 1.83333333 -48.1666666 Phe  Eri
 1.83333333 -51.5000000 Phe  Eri
 1.58333333 -51.5000000 Phe  Eri
 1.58333333 -53.5000000 Phe  Eri
 1.33333333 -53.5000000 Phe  Eri
 1.33333333 -58.5000000 Phe  Eri
23.33333333 -58.5000000 Phe  Tuc
23.33333333 -57.0000000 Phe  Tuc
23.33333333 -40.0000000 Phe  Gru
 6.00000000 -43.0000000 Pic
 6.00000000 -50.7500000 Pic  Pup
 6.00000000 -52.5000000 Pic  Car
 6.16666666 -52.5000000 Pic  Car
 6.16666666 -55.0000000 Pic  Car
 6.50000000 -55.0000000 Pic  Car
 6.50000000 -58.0000000 Pic  Car
 6.83333333 -58.0000000 Pic  Car
 6.83333333 -64.0000000 Pic  Car
 6.58333333 -64.0000000 Pic  Vol
 6.00000000 -64.0000000 Pic  Dor
 6.00000000 -61.0000000 Pic  Dor
 5.50000000 -61.0000000 Pic  Dor
 5.50000000 -57.5000000 Pic  Dor
 5.00000000 -57.5000000 Pic  Dor
 5.00000000 -54.0000000 Pic  Dor
 4.50000000 -54.0000000 Pic  Dor
 4.50000000 -49.0000000 Pic  Dor
 4.50000000 -46.5000000 Pic  Cae
 4.83333333 -46.5000000 Pic  Cae
 4.83333333 -43.0000000 Pic  Cae
 5.00000000 -43.0000000 Pic  Cae
 6.00000000 -43.0000000 Pic  Col
22.75000000 -00.0000000 Psc
22.75000000 +02.0000000 Psc  Aqr
22.75000000 +07.5000000 Psc  Peg
23.83333333 +07.5000000 Psc  Peg
23.83333333 +10.0000000 Psc  Peg
 0.00000000 +10.0000000 Psc  Peg
 0.00000000 +12.5000000 Psc  Peg
 0.14166666 +12.5000000 Psc  Peg
 0.14166666 +21.0000000 Psc  Peg
 0.85000000 +21.0000000 Psc  And
 0.85000000 +23.7500000 Psc  And
 0.71666666 +23.7500000 Psc  And
 0.71666666 +33.0000000 Psc  And
 1.40833333 +33.0000000 Psc  And
 1.40833333 +28.0000000 Psc  Tri
 1.66666666 +28.0000000 Psc  Tri
 1.66666666 +25.0000000 Psc  Tri
 1.66666666 +09.9166666 Psc  Ari
 2.00000000 +09.9166666 Psc  Ari
 2.00000000 +02.0000000 Psc  Cet
 0.33333333 +02.0000000 Psc  Cet
 0.33333333 -00.0000000 Psc  Cet
 0.33333333 -07.0000000 Psc  Cet
23.83333333 -07.0000000 Psc  Cet
23.83333333 -04.0000000 Psc  Aqr
22.75000000 -04.0000000 Psc  Aqr
22.75000000 -00.0000000 Psc  Aqr
23.00000000 -25.5000000 PsA
23.00000000 -37.0000000 PsA  Scl
21.33333333 -37.0000000 PsA  Gru
21.33333333 -28.0000000 PsA  Mic
21.33333333 -25.5000000 PsA  Cap
21.86666666 -25.5000000 PsA  Cap
23.00000000 -25.5000000 PsA  Aqr
 7.36666666 -11.0000000 Pup
 8.08333333 -11.0000000 Pup  Mon
 8.36666666 -11.0000000 Pup  Hya
 8.36666666 -17.0000000 Pup  Hya
 8.36666666 -36.7500000 Pup  Pyx
 8.36666666 -43.0000000 Pup  Vel
 8.00000000 -43.0000000 Pup  Vel
 8.00000000 -50.7500000 Pup  Vel
 6.00000000 -50.7500000 Pup  Car
 6.00000000 -43.0000000 Pup  Pic
 6.58333333 -43.0000000 Pup  Col
 6.58333333 -33.0000000 Pup  Col
 7.36666666 -33.0000000 Pup  CMa
 7.36666666 -11.0000000 Pup  CMa
 8.36666666 -17.0000000 Pyx
 8.58333333 -17.0000000 Pyx  Hya
 8.58333333 -19.0000000 Pyx  Hya
 9.08333333 -19.0000000 Pyx  Hya
 9.08333333 -24.0000000 Pyx  Hya
 9.36666666 -24.0000000 Pyx  Hya
 9.36666666 -36.7500000 Pyx  Ant
 8.36666666 -36.7500000 Pyx  Vel
 8.36666666 -17.0000000 Pyx  Pup
 3.20000000 -67.5000000 Ret
